payment_id,shipment_id,delivery_id,payment_method,payment_amount,payment_date
101443,741476,473819,paypal,135.22,2023-01-13
849275,442243,575270,credit card,166.7,2023-06-15
895204,979899,652938,credit card,435.54999999999995,2023-04-08
546995,898669,593211,credit card,347.04,2023-09-17
192547,467360,900198,credit card,213.89000000000001,2023-10-14
793034,283223,859702,credit card,84.22999999999999,2023-04-04
102830,961524,195653,credit card,172.34,2023-03-24
799288,441046,110122,cash,177.78,2023-03-13
626020,180746,131508,paypal,162.79,2023-02-04
607390,118212,652800,cash,122.67,2023-08-13
505685,28500,264129,cash,209.96,2023-06-29
186857,997598,498067,paypal,769.53,2023-02-15
277089,577781,394498,paypal,823.03,2023-04-30
634474,34841,978648,credit card,567.16,2023-04-26
687859,256936,465307,cash,96.0,2023-12-16
37269,449819,785178,paypal,797.24,2023-02-23
886317,825203,9680,paypal,511.49,2023-07-24
649134,489482,813260,paypal,69.12,2023-08-20
343216,668729,66263,cash,102.86,2023-05-26
595934,908371,79259,paypal,106.50999999999999,2023-02-14
395739,266340,113561,credit card,268.01,2023-08-23
25118,359556,855349,credit card,197.67,2023-05-12
171264,538925,650394,paypal,560.96,2023-01-07
546036,510333,425369,credit card,98.19,2023-03-10
39163,982903,422265,cash,818.48,2023-10-05
578297,857095,40960,cash,76.77000000000001,2023-06-03
844697,551909,469659,credit card,126.08,2023-06-17
434490,68377,173677,paypal,180.53,2023-02-12
751530,371146,924510,paypal,918.27,2023-11-06
881566,385461,375520,cash,812.5799999999999,2023-08-07
500896,510723,176745,paypal,355.84999999999997,2023-12-30
898840,644977,559222,cash,1014.57,2023-05-06
272367,353049,149078,credit card,215.14999999999998,2023-11-01
26257,493142,658414,credit card,54.39,2023-02-12
965189,476994,111474,cash,955.91,2023-12-08
28266,578574,736946,credit card,205.35,2023-01-07
122149,198660,138814,paypal,88.4,2023-05-26
390682,81940,703146,paypal,174.11,2023-10-16
933561,736456,632445,cash,613.61,2023-11-22
518057,839794,103998,cash,85.94,2023-02-01
345726,69117,384419,credit card,126.91,2023-03-03
10635,397761,8308,cash,82.91,2023-09-16
936205,15112,83175,credit card,867.51,2023-05-28
311271,813855,11038,cash,235.69,2023-02-16
155753,303842,259071,cash,254.87,2023-04-05
898428,70139,851717,cash,222.07999999999998,2023-11-09
190232,525699,732820,paypal,55.620000000000005,2023-04-28
674683,844909,905934,cash,140.67000000000002,2023-09-05
292566,472907,795499,credit card,231.99,2023-10-23
821482,391876,68812,credit card,235.56,2023-01-15
695238,328512,47925,paypal,297.34999999999997,2023-08-10
291206,183278,1742,cash,574.61,2023-10-26
509840,964761,804752,cash,730.42,2023-04-24
946938,490027,672182,paypal,142.07999999999998,2023-10-30
354939,638651,565246,credit card,821.9599999999999,2023-01-28
896180,140880,491463,paypal,128.36,2023-01-11
300134,835112,845250,paypal,182.23,2023-07-04
680363,359696,245064,paypal,217.16,2023-11-06
988415,594443,698200,paypal,57.19,2023-06-14
794397,725381,451973,credit card,155.26999999999998,2023-11-03
546829,38197,743466,paypal,244.42,2023-12-03
652731,530347,508247,paypal,147.3,2023-05-19
358314,868249,159494,credit card,1040.3600000000001,2023-12-24
756737,399048,587242,cash,125.85,2023-10-29
996294,940964,398523,credit card,193.78,2023-08-09
463675,503761,357490,paypal,82.06,2023-06-26
295578,857058,61800,credit card,244.15,2023-12-16
863757,773358,348494,credit card,93.27000000000001,2023-07-27
932479,636749,802058,paypal,227.39999999999998,2023-12-29
875469,960115,332197,credit card,188.95999999999998,2023-12-11
434470,823804,556781,credit card,89.1,2023-07-25
490605,885768,996607,paypal,134.45,2023-09-13
301969,33300,212039,cash,56.9,2023-06-15
27917,50895,180092,paypal,744.31,2023-10-07
31629,977577,843498,paypal,126.25,2023-12-15
266883,323909,734345,credit card,120.27,2023-04-25
172246,464698,474081,cash,80.47999999999999,2023-02-26
892821,551103,688135,cash,223.07,2023-05-16
877947,560593,35566,cash,327.13,2023-01-16
922709,939845,625409,cash,563.55,2023-10-09
853453,196456,415874,credit card,217.07,2023-09-07
902686,47718,353206,credit card,585.02,2023-08-26
309570,902213,979003,paypal,64.0,2023-07-13
78735,104380,135568,paypal,221.03,2023-02-06
317127,926380,523791,credit card,208.93,2023-10-13
188366,308027,480053,cash,900.6899999999999,2023-01-19
614616,268095,776205,credit card,126.07,2023-04-03
467033,237143,787995,paypal,70.34,2023-07-05
704614,319790,816461,cash,184.09,2023-10-10
732002,972895,759722,credit card,175.57999999999998,2023-09-12
482497,470116,794494,credit card,434.36,2023-03-11
820105,628950,32011,paypal,447.25,2023-10-31
786591,327474,289455,paypal,233.39,2023-03-10
53237,396557,579441,cash,455.03,2023-09-08
172506,239786,922779,credit card,181.13,2023-10-28
666614,106841,153929,cash,825.6600000000001,2023-06-14
275325,945270,337876,paypal,77.84,2023-08-14
923484,856169,62524,cash,164.25,2023-10-13
109728,643650,721778,cash,143.10999999999999,2023-04-27
912951,942440,625318,credit card,231.42000000000002,2023-04-16
125088,3851,736715,paypal,167.15,2023-05-28
857285,709903,292238,paypal,476.34,2023-06-30
333548,585036,601000,credit card,219.6,2023-04-10
792967,209841,353884,paypal,142.51,2023-05-24
823970,983994,241578,paypal,824.82,2023-11-30
702237,655737,828153,credit card,105.94,2023-11-28
974373,341256,761280,credit card,660.5999999999999,2023-06-10
431196,99751,853153,paypal,184.48,2023-05-30
245701,477293,787057,cash,187.79,2023-03-31
141583,271693,317101,cash,145.73,2023-10-02
783929,530007,926371,credit card,481.98,2023-07-17
288709,961851,261,credit card,51.37,2023-06-02
27249,899905,541409,cash,121.21,2023-03-01
565258,399859,191184,credit card,131.71,2023-01-18
367503,295326,972003,credit card,226.16,2023-12-13
94175,410889,764070,paypal,288.08,2023-09-17
19568,167432,771889,cash,95.1,2023-10-05
642544,446766,884727,cash,117.09,2023-07-17
800628,471077,561511,paypal,73.71000000000001,2023-06-10
59601,228676,313350,paypal,236.98000000000002,2023-05-09
300102,222027,499611,paypal,186.31,2023-10-18
480275,303281,655564,credit card,87.14,2023-04-30
72472,798113,717969,cash,104.87,2023-10-02
381212,667428,499388,credit card,215.14000000000001,2023-02-04
454514,941685,22294,cash,222.88,2023-08-25
492319,556364,938849,paypal,513.61,2023-07-19
230244,354647,664563,paypal,134.75,2023-01-22
171409,381683,865915,paypal,182.07,2023-10-31
529566,236924,854218,paypal,246.75,2023-06-17
842153,219421,129896,credit card,173.14,2023-04-12
731225,144697,726926,credit card,93.84,2023-12-24
763271,962056,999543,cash,218.2,2023-01-15
604228,431264,978038,paypal,702.6700000000001,2023-03-08
530212,93165,5638,paypal,222.07,2023-03-18
686267,901411,44046,cash,404.96000000000004,2023-05-14
978849,760085,875841,cash,114.19,2023-08-05
944611,873414,75045,cash,859.62,2023-12-05
561089,904277,300703,paypal,93.00999999999999,2023-09-27
412413,420501,603049,credit card,696.67,2023-07-11
923606,492978,48932,paypal,144.1,2023-10-26
567675,8606,711884,credit card,614.75,2023-10-23
324257,195302,220613,cash,177.82000000000002,2023-09-22
879780,130291,402536,paypal,192.53,2023-03-11
220805,796842,461551,paypal,965.11,2023-10-12
624825,687891,636648,paypal,81.15,2023-12-29
275708,903005,151978,credit card,111.56,2023-03-22
447339,803842,470005,paypal,312.94,2023-05-18
669506,102468,294138,cash,418.36,2023-01-06
56277,250326,85520,credit card,915.94,2023-04-14
673883,56403,923481,paypal,195.53,2023-02-03
839030,130772,976719,paypal,860.86,2023-10-24
803342,746058,885408,cash,151.51,2023-07-05
571757,55520,202015,credit card,194.87,2023-01-24
711527,377022,771782,cash,119.49000000000001,2023-02-18
776391,69172,262201,credit card,113.35,2023-09-11
887294,905383,159215,credit card,126.56,2023-10-21
587371,997774,290812,paypal,95.09,2023-11-29
962216,205880,617115,credit card,756.51,2023-09-04
174863,6126,531445,credit card,848.2900000000001,2023-08-29
891885,161527,540458,cash,153.29000000000002,2023-10-16
646770,890277,796087,cash,989.72,2023-05-19
74705,97000,466929,paypal,117.62,2023-03-30
648351,462786,153593,credit card,98.31,2023-12-08
301835,213032,437493,cash,191.32999999999998,2023-06-14
239940,922424,744241,cash,115.99000000000001,2023-04-18
630078,194386,686694,cash,81.5,2023-10-04
322728,372665,945844,credit card,222.04000000000002,2023-07-10
543989,355683,73101,paypal,128.05,2023-06-07
945071,103683,458859,credit card,80.78999999999999,2023-04-07
781330,323151,801631,paypal,456.02,2023-02-05
393511,610952,328319,credit card,114.91,2023-09-11
31128,137433,938304,cash,101.47,2023-02-15
530761,252620,517468,paypal,53.63,2023-03-19
524201,828498,774180,paypal,395.77,2023-07-12
920747,941755,558946,credit card,136.5,2023-03-01
380628,661709,109921,paypal,119.53,2023-06-13
835864,780077,325956,paypal,127.62,2023-05-27
588821,818898,997808,paypal,637.85,2023-03-16
616963,605255,697787,cash,104.82,2023-11-08
502864,253541,458518,credit card,351.3,2023-03-24
873871,458663,473513,credit card,762.5999999999999,2023-11-08
977719,488771,445925,paypal,110.30000000000001,2023-04-26
164278,666486,744365,credit card,758.4599999999999,2023-06-13
334206,316935,129755,credit card,122.07,2023-07-03
31017,743042,353938,paypal,590.98,2023-08-08
768556,635827,131799,cash,195.89999999999998,2023-03-22
900803,444625,266502,credit card,91.86000000000001,2023-03-21
208758,588771,5024,credit card,423.08,2023-10-17
57971,97798,77180,credit card,180.11,2023-02-10
531486,25960,865342,cash,783.8199999999999,2023-10-04
354300,902434,676232,cash,914.35,2023-08-09
40721,671304,6418,paypal,167.23,2023-10-25
215453,128555,712228,credit card,95.43,2023-02-11
878881,40957,174581,paypal,227.62,2023-08-29
359071,456136,282284,credit card,114.72,2023-03-18
797405,602479,729684,cash,47.66,2023-06-30
200248,451368,277070,credit card,137.82999999999998,2023-10-07
609473,45500,785187,credit card,91.72,2023-04-27
286010,345964,542497,credit card,812.0600000000001,2023-06-17
68586,32838,928653,cash,842.75,2023-01-08
315235,450453,816642,paypal,172.41,2023-08-14
111979,129009,214085,cash,222.08,2023-03-15
34343,715537,568392,paypal,479.30999999999995,2023-12-17
276261,134989,627066,paypal,510.76,2023-07-28
471234,999677,866318,cash,662.69,2023-03-26
601938,177116,257849,paypal,87.78,2023-02-10
864132,389971,427162,cash,182.48000000000002,2023-10-23
433585,329519,394563,cash,116.24000000000001,2023-09-04
127690,732408,398985,paypal,138.45,2023-09-11
718109,576248,633661,paypal,96.27000000000001,2023-07-02
44952,267158,966583,credit card,204.81,2023-07-09
777542,287147,81247,credit card,141.02,2023-11-17
142457,382959,316101,paypal,499.0,2023-10-02
375106,124852,833078,credit card,1019.0,2023-01-10
221098,622285,401157,paypal,964.6999999999999,2023-05-18
621128,986227,112676,paypal,200.48,2023-05-05
488044,502830,938412,paypal,692.01,2023-03-16
276699,828342,118681,credit card,220.5,2023-03-12
127902,180843,727462,credit card,185.47,2023-12-09
328153,321241,651872,cash,244.12,2023-10-04
307783,616798,99060,paypal,163.27,2023-09-01
907523,878650,212296,credit card,153.63,2023-11-17
299493,390122,363289,paypal,631.03,2023-09-01
573270,855903,695235,paypal,210.14000000000001,2023-03-21
336269,636884,55324,cash,99.13,2023-08-04
196250,53550,617404,paypal,170.70999999999998,2023-04-16
24121,255086,94068,cash,77.00999999999999,2023-11-18
671464,531315,765453,paypal,91.91,2023-08-17
419848,836196,323358,credit card,955.43,2023-12-01
559601,985915,604876,paypal,147.65,2023-10-04
329722,324649,366493,paypal,425.22,2023-04-12
834648,248409,931042,cash,865.9,2023-06-29
36596,916046,343859,credit card,508.26,2023-01-25
27404,746645,547590,credit card,78.52000000000001,2023-11-30
165780,700953,354727,credit card,218.62,2023-10-31
117138,992769,871591,cash,161.95,2023-09-20
44288,346363,889617,credit card,472.32,2023-09-10
904652,243469,543152,cash,205.51,2023-03-11
559784,492741,614656,paypal,212.38,2023-01-22
839179,525524,649502,credit card,72.15,2023-12-12
643919,730960,823350,credit card,736.0699999999999,2023-11-06
938146,666692,394973,credit card,140.68,2023-11-13
809727,870904,346724,paypal,111.74000000000001,2023-10-26
149826,913479,831773,cash,222.61999999999998,2023-02-11
743096,722758,189758,credit card,132.12,2023-05-27
269501,364745,31678,credit card,755.31,2023-01-29
600757,847124,90628,credit card,526.63,2023-03-24
342281,356038,490355,credit card,219.4,2023-06-17
7015,939566,930487,paypal,637.34,2023-05-15
463907,746878,194109,cash,1010.89,2023-09-16
994094,614733,600139,paypal,131.52,2023-02-01
712197,112134,589146,credit card,827.67,2023-03-19
424993,519832,549841,cash,268.24,2023-12-22
172931,165542,61946,credit card,680.2900000000001,2023-03-19
180774,652390,876398,credit card,108.16,2023-03-22
251526,510228,244615,paypal,73.6,2023-01-01
332670,297398,580216,cash,127.72,2023-02-07
576182,45385,308148,cash,216.25,2023-09-20
737724,912232,620267,cash,323.49,2023-07-05
812151,736435,126136,paypal,74.53999999999999,2023-03-01
271224,492307,601880,credit card,611.91,2023-07-04
888034,55589,104376,credit card,878.4300000000001,2023-07-31
654493,437654,686465,credit card,148.38,2023-01-22
203891,566078,682445,cash,981.1899999999999,2023-05-13
450184,764773,980876,paypal,560.6,2023-09-15
120605,449523,831068,credit card,195.13,2023-04-04
331839,389711,805021,paypal,243.33,2023-07-08
693186,897030,422499,credit card,785.97,2023-05-18
350643,985546,798754,cash,241.48,2023-05-03
112563,926884,126624,credit card,88.55000000000001,2023-07-08
295026,43954,844475,paypal,85.72,2023-07-01
194796,725450,897619,paypal,695.85,2023-09-26
874608,19378,296015,credit card,202.98000000000002,2023-02-22
939216,55728,169037,credit card,845.5,2023-06-28
170399,101741,527039,paypal,619.7099999999999,2023-09-22
369023,504962,120466,credit card,202.29,2023-07-26
897884,126643,3893,paypal,188.59,2023-09-30
698127,843036,804099,paypal,119.68,2023-08-14
86888,503658,76279,cash,69.81,2023-09-10
218603,334988,277775,credit card,81.03999999999999,2023-06-30
372083,306608,867511,credit card,614.78,2023-11-01
911230,619283,404775,credit card,209.02,2023-07-29
135969,643656,854997,credit card,149.85,2023-10-06
587066,514651,131739,credit card,199.14,2023-04-08
313838,907624,563189,credit card,91.47,2023-06-22
747957,593439,417015,credit card,255.23,2023-02-03
800277,208296,306754,paypal,770.47,2023-07-03
649821,591225,903768,paypal,167.01,2023-10-01
404679,720865,532287,cash,997.21,2023-10-03
17097,24776,625106,paypal,705.05,2023-05-02
367715,416399,998929,cash,470.14,2023-02-02
328539,364914,365114,cash,88.13,2023-10-17
499082,701322,913731,credit card,766.8399999999999,2023-11-28
542866,895348,625657,cash,84.30000000000001,2023-02-13
878521,776592,476572,paypal,721.08,2023-04-16
150489,322444,658913,paypal,132.03,2023-05-23
637922,661446,290933,credit card,207.05,2023-12-10
118049,376186,47449,cash,290.75,2023-06-20
858889,177769,444403,paypal,108.21000000000001,2023-01-27
415267,977827,889793,credit card,156.19,2023-02-02
76115,438616,273422,credit card,194.21,2023-04-09
74671,62721,652263,paypal,82.84,2023-05-09
495621,495391,547925,paypal,84.36,2023-01-04
529076,588991,732453,credit card,106.37,2023-10-24
499046,191035,370087,cash,134.29000000000002,2023-03-22
450015,924496,639653,credit card,135.01999999999998,2023-12-08
596156,300982,103644,paypal,150.01,2023-05-26
169485,809266,735209,credit card,228.7,2023-03-29
446342,44034,800600,paypal,560.66,2023-01-30
148682,106630,955483,paypal,403.05,2023-03-29
890209,104636,426517,credit card,687.5400000000001,2023-04-12
919739,654160,427580,cash,251.62,2023-01-21
618193,731820,762486,credit card,216.44,2023-02-21
949668,749124,545750,cash,239.04,2023-05-18
396989,561079,680287,paypal,97.35,2023-08-14
536935,738402,657968,cash,920.64,2023-10-20
677400,571121,370079,cash,196.55,2023-06-03
490666,550663,399410,paypal,213.89,2023-12-12
267331,547310,66040,paypal,164.12,2023-08-18
87620,296944,653775,credit card,635.48,2023-07-15
453086,186013,494096,cash,160.41,2023-01-07
519646,594527,729385,paypal,162.57999999999998,2023-03-15
66601,715064,621599,cash,208.99,2023-11-10
574889,861335,429141,paypal,50.86,2023-06-18
313215,350755,879478,credit card,160.83,2023-04-09
821210,426321,889783,paypal,903.49,2023-10-27
798269,49664,954957,paypal,82.50999999999999,2023-01-08
580336,69576,852540,cash,213.08,2023-06-12
449138,511211,680891,cash,248.71,2023-08-22
914615,201559,660843,credit card,708.76,2023-09-18
189292,88768,811040,cash,58.49,2023-01-20
378258,590330,357113,paypal,109.62,2023-08-06
596210,689599,927448,cash,49.92,2023-03-28
746091,171943,247456,paypal,785.25,2023-12-03
909593,582027,630900,cash,134.5,2023-06-28
817726,199668,942723,cash,530.14,2023-06-22
680167,278572,325926,credit card,227.37,2023-01-10
195968,15734,258384,cash,237.78,2023-02-01
652768,815661,125893,cash,87.93,2023-10-08
182273,444536,637654,credit card,858.65,2023-11-30
273624,154361,604312,paypal,760.0799999999999,2023-10-11
468103,910214,114887,credit card,110.54,2023-04-11
712087,123503,590900,credit card,80.78999999999999,2023-06-27
972407,259211,367510,credit card,243.48,2023-10-25
939616,144026,670903,cash,214.71,2023-06-08
861878,109308,730692,credit card,1031.3799999999999,2023-05-12
194657,33931,468518,cash,188.64999999999998,2023-07-19
285051,943448,549750,paypal,220.87,2023-08-19
789778,830605,324843,cash,639.99,2023-02-23
669397,327441,979143,cash,94.28999999999999,2023-09-30
173091,847881,927513,paypal,116.03999999999999,2023-10-17
3362,177660,304092,cash,318.90000000000003,2023-07-08
27303,83780,915021,cash,145.5,2023-11-26
434485,397722,860469,cash,524.72,2023-07-11
629529,256035,456774,credit card,108.34,2023-07-09
644112,281337,262676,cash,199.04000000000002,2023-08-09
902448,21087,576121,credit card,1051.34,2023-04-11
87532,300832,529623,paypal,323.15999999999997,2023-06-18
846116,623267,626220,cash,350.07,2023-05-17
32378,155456,149209,credit card,84.4,2023-12-19
536547,429994,113031,cash,235.48,2023-03-24
618709,949235,306487,cash,93.41,2023-08-14
238617,227984,883359,credit card,550.8100000000001,2023-03-24
300155,16768,50578,cash,422.41999999999996,2023-12-12
348956,667051,838394,paypal,126.32,2023-07-25
630060,480626,227038,cash,107.45,2023-11-04
475782,292468,646799,cash,114.41,2023-07-06
532045,462335,696936,cash,115.63,2023-04-20
773769,469461,222737,paypal,76.97,2023-11-29
510996,956315,469992,cash,223.38,2023-02-22
529820,678695,807812,credit card,72.46000000000001,2023-09-06
400368,314944,124363,credit card,252.81,2023-03-06
967129,881490,450461,cash,134.64,2023-01-04
150709,861991,527116,credit card,752.8399999999999,2023-03-01
147754,944970,687381,credit card,213.33,2023-02-17
341973,404936,920808,credit card,339.56,2023-09-02
667998,828033,914447,credit card,164.86,2023-01-27
530424,327539,446912,credit card,97.92,2023-05-15
412411,13721,246580,paypal,225.26,2023-06-06
355059,422695,431889,cash,124.72,2023-08-20
393928,660662,980092,credit card,221.43,2023-09-07
936972,935071,573743,paypal,188.53,2023-09-10
782105,420804,760468,paypal,161.72,2023-06-02
19146,190482,286906,paypal,721.35,2023-09-27
555318,200467,299971,cash,120.81,2023-08-23
430917,544734,708258,credit card,823.74,2023-12-07
683209,964334,782956,credit card,126.56,2023-04-29
40382,590956,841780,paypal,157.39,2023-03-20
601552,581872,446871,credit card,240.73,2023-08-16
909128,299066,821542,cash,573.86,2023-09-04
301766,217588,788836,cash,54.95,2023-10-23
722599,397776,713588,paypal,687.48,2023-07-12
38333,673144,331406,cash,234.95,2023-09-26
218216,226960,373974,paypal,1025.47,2023-09-20
415320,610117,403607,credit card,728.68,2023-09-09
100247,451517,936529,credit card,431.57,2023-05-20
911888,195008,226435,paypal,951.17,2023-03-04
17661,389919,531565,cash,226.47,2023-04-05
344524,785160,161495,credit card,152.37,2023-11-03
997315,731762,266437,paypal,205.07,2023-10-26
112829,863697,117476,cash,153.12,2023-03-16
191658,721352,388918,credit card,106.1,2023-08-26
410909,347813,475584,paypal,172.54,2023-04-22
472803,618880,862114,paypal,1047.13,2023-08-11
167043,235476,299466,cash,1001.24,2023-11-03
236243,587556,967864,cash,169.7,2023-12-11
507261,900351,360870,credit card,906.48,2023-07-10
566465,341061,795531,paypal,551.35,2023-09-02
116780,518032,653101,cash,101.14,2023-03-26
732798,805862,480016,cash,478.06,2023-03-02
24584,414348,238843,cash,120.94999999999999,2023-07-24
210979,552957,957855,credit card,673.3399999999999,2023-12-18
572041,926010,799509,cash,125.06,2023-12-13
833965,832993,152164,paypal,559.11,2023-08-18
57561,272549,651380,cash,171.71,2023-07-24
440205,753761,465165,credit card,254.5,2023-02-16
342465,420593,583500,cash,150.42,2023-07-26
931036,220462,15565,credit card,188.07,2023-11-25
491858,361634,22650,cash,146.91,2023-07-31
221320,283128,684860,cash,55.53,2023-05-14
219495,386234,144690,cash,855.79,2023-10-08
470059,141349,727007,credit card,229.56,2023-12-16
126035,256983,515551,cash,160.2,2023-11-03
254242,525545,882413,paypal,348.02,2023-06-19
659432,981100,296969,credit card,120.16,2023-05-04
330260,371333,957415,credit card,245.81,2023-05-04
11166,494819,54784,cash,386.77,2023-03-06
720831,618099,187129,cash,255.07999999999998,2023-02-18
349254,672540,466562,paypal,238.01,2023-03-07
160794,69707,595375,cash,851.63,2023-03-15
601718,558788,677199,credit card,140.31,2023-05-27
284944,395712,196459,cash,130.29,2023-03-31
461787,557277,11037,cash,793.62,2023-12-29
409952,215465,571844,credit card,88.13,2023-09-30
680249,876604,339927,paypal,199.67000000000002,2023-07-23
263774,416734,4159,paypal,111.61999999999999,2023-08-07
546450,193814,124935,credit card,168.26,2023-03-07
232530,760731,329014,credit card,259.39,2023-03-17
88812,746920,504275,cash,119.55,2023-03-04
252554,572686,480576,cash,209.84,2023-06-19
6972,148312,373110,credit card,129.76,2023-12-09
428223,38789,247532,credit card,258.23,2023-12-08
406694,440783,338653,credit card,61.42,2023-09-16
678987,703237,151465,paypal,747.21,2023-03-29
5946,996687,507629,credit card,664.0,2023-07-20
476145,85267,936263,credit card,199.43,2023-07-05
357894,676892,901147,cash,168.47,2023-09-15
704170,789902,758450,paypal,163.56,2023-02-17
903032,689476,323966,credit card,684.53,2023-11-30
8808,478023,991227,credit card,223.99,2023-03-03
334472,937190,850117,credit card,108.25,2023-06-19
273756,847076,258145,paypal,821.9100000000001,2023-08-28
470438,163844,312440,cash,93.03999999999999,2023-04-07
30755,749038,981574,cash,141.23,2023-12-11
992786,954299,737616,paypal,82.28,2023-10-15
420470,467349,20130,cash,68.64,2023-10-10
114352,161244,252244,credit card,209.51,2023-09-05
590526,55453,903562,credit card,204.92,2023-08-17
359328,235209,513717,paypal,213.36,2023-10-25
571142,971731,749623,cash,244.04000000000002,2023-04-02
172916,365138,480412,paypal,253.2,2023-11-23
263571,491665,97881,credit card,203.35,2023-08-18
635718,748642,587525,paypal,180.56,2023-02-12
346421,833069,32969,credit card,157.52,2023-04-15
161525,49184,270949,credit card,78.41,2023-09-12
642360,299359,534933,paypal,85.58000000000001,2023-09-06
589051,685900,827288,paypal,202.76,2023-11-27
520298,400524,464138,cash,182.99,2023-08-23
2992,238995,847108,credit card,574.28,2023-08-18
62517,270193,514001,cash,77.39,2023-11-30
60151,278587,755997,credit card,127.52,2023-04-15
603552,662913,770171,cash,422.14,2023-08-22
884785,108129,133510,paypal,91.65,2023-10-21
590585,215359,70270,credit card,206.45000000000002,2023-03-14
387355,673902,9329,paypal,102.62,2023-11-27
153156,227009,200527,paypal,208.5,2023-05-19
205183,493947,874400,credit card,146.36,2023-05-17
835469,937322,795411,paypal,174.2,2023-11-04
187105,302236,452660,paypal,169.75,2023-01-03
539807,127134,206790,cash,195.1,2023-10-17
503918,826044,510200,credit card,231.5,2023-01-23
404497,223676,209008,paypal,192.64,2023-12-23
535854,988711,242742,cash,990.65,2023-09-06
206233,816819,92522,credit card,109.28999999999999,2023-03-31
123840,825316,648013,cash,1028.87,2023-01-30
309551,25345,341824,paypal,635.13,2023-04-03
431701,420897,492184,credit card,163.11,2023-05-27
312707,274607,163559,cash,139.51,2023-11-26
607775,329367,455216,credit card,824.95,2023-02-03
132926,853014,533737,paypal,170.88,2023-12-09
418335,945776,887488,credit card,114.85,2023-09-01
378831,960563,190321,credit card,464.5,2023-05-15
679474,834924,862888,cash,84.74000000000001,2023-07-08
81757,403231,972463,paypal,487.28999999999996,2023-07-20
298925,331601,82672,cash,117.53999999999999,2023-09-21
172153,272997,704149,paypal,233.29999999999998,2023-07-20
189369,697777,375011,credit card,440.39000000000004,2023-04-19
2093,592347,727955,paypal,137.69,2023-03-05
543458,788480,861002,credit card,297.17,2023-08-29
910769,214053,256830,paypal,470.78999999999996,2023-09-18
18441,285924,918072,cash,75.41,2023-01-07
489643,849434,156929,cash,54.96,2023-11-27
252218,765712,696409,cash,722.49,2023-02-25
645038,800134,987648,cash,176.14999999999998,2023-04-17
483070,308678,610057,credit card,143.41,2023-10-11
